Date,Total Snow,Daily Delta,Min,Max,Mean
2011-12-09,151.0,4.0,-5.8,5.9,-1.78695652174
2011-12-08,147.0,0.0,-12.6,-1.5,-8.64782608696
2014-06-14,0.0,0.0,7.2,15.2,9.57391304348
2014-06-15,0,0.0,3.3,11.4,6.42173913043
2014-06-16,2.0,2.0,0.3,8.9,3.3652173913
2014-06-17,1.0,-1.0,4.5,17.5,9.28260869565
2014-06-10,0,0,1.9,13.9,7.01739130435
2014-06-11,0,0,1.8,15.4,8.55217391304
2014-06-12,0,0,0.9,17.0,8.48695652174
2014-06-13,0.0,0.0,3.8,18.5,10.052173913
2016-06-12,0,0,4.6,11.1,6.78260869565
2014-06-18,1.0,0.0,7.4,15.6,11.1826086957
2014-06-19,0.0,-1.0,7.6,13.5,9.3652173913
2016-06-13,0,0,3.1,10.0,6.00434782609
2013-04-30,421.0,-3.0,-8.7,4.2,-3.07826086957
2016-09-16,0,0,8.0,14.7,10.6391304348
2014-05-19,129.0,-28.0,2.7,11.7,6.1
2014-05-18,157.0,-24.0,0.0,13.7,5.3
2014-05-11,305.0,-15.0,-2.0,15.1,4.97391304348
2014-05-10,320.0,-18.0,-1.3,12.4,3.7
2014-05-13,284.0,-12.0,4.2,14.4,7.57826086957
2014-05-12,296.0,-9.0,1.7,8.8,5.48260869565
2014-05-15,231.0,-27.0,0.5,17.2,8.36086956522
2014-05-14,258.0,-26.0,5.6,18.8,10.7913043478
2014-05-17,181.0,-30.0,5.5,12.5,8.79130434783
2014-05-16,211.0,-20.0,3.0,17.4,9.7347826087
2015-10-29,0,0,2.8,6.2,4.55217391304
2015-10-28,0,0,-1.0,6.9,4.21739130435
2015-10-27,0,0,-1.9,7.2,1.45652173913
2015-10-26,0,0,-2.6,10.2,0.504347826087
2015-10-25,0,0,-2.6,1.7,-1.21304347826
2015-10-24,0,0,-3.8,6.7,0.113043478261
2015-10-23,0,0,2.1,7.0,4.25652173913
2015-10-22,0,0,1.5,4.8,3.02608695652
2015-10-21,0,0,2.9,9.3,6.6
2011-11-30,156.0,-1.0,-10.8,-2.1,-6.67391304348
2012-08-29,0,0,6.2,10.2,7.5652173913
2012-08-28,0,0,4.6,10.8,7.46086956522
2012-08-21,0,0,5.6,18.2,12.4260869565
2012-08-20,0,0,9.8,20.8,14.4
2012-08-23,0,0,3.6,9.8,6.58695652174
2012-08-22,0,0,8.4,14.2,11.0086956522
2012-08-25,0,0,0.6,21.2,8.66086956522
2012-08-24,0,0,3.0,13.8,7.02608695652
2012-08-27,0,0,7.0,17.3,10.6304347826
2012-08-26,0,0,5.9,18.9,10.5391304348
2014-01-15,165.0,0.0,2.2,3.9,2.9347826087
2014-01-14,165.0,1.0,1.8,3.7,2.68260869565
2014-01-17,166.0,2.0,-0.2,7.4,3.28695652174
2014-01-16,164.0,-1.0,-1.1,8.6,2.63043478261
2014-01-11,153.0,41.0,-4.9,-0.9,-2.38695652174
2014-01-10,112.0,3.0,-3.1,-0.3,-1.81739130435
2014-01-13,164.0,8.0,0.1,3.7,1.46086956522
2014-01-12,156.0,3.0,-5.9,-0.3,-3.43913043478
2016-08-18,0,0,5.0,21.1,11.4739130435
2016-08-19,0,0,5.9,25.3,13.6217391304
2014-01-19,166.0,-3.0,-2.7,3.2,0.530434782609
2014-01-18,169.0,3.0,-3.1,7.4,2.40434782609
2017-02-17,351.0,-4.0,-3.1,-0.3,-1.52608695652
2017-02-16,355.0,8.0,0.1,2.3,1.12173913043
2017-02-15,347.0,10.0,1.1,4.0,2.38695652174
2017-02-14,337.0,11.0,-1.5,6.5,3.34782608696
2017-02-13,326.0,4.0,-0.5,6.8,2.05217391304
2017-02-12,322.0,11.0,-3.3,0.6,-2.23913043478
2017-02-11,311.0,-14.0,-5.8,-2.2,-4.6
2017-02-10,325.0,2.0,-10.5,-1.2,-2.74347826087
