date,daily_avg,daily_max,avg_dir
2015-08-01,0.0696214535562,0.0720663650075,0.475555555556
2015-08-02,0.0631558492033,0.0825339366516,0.482291666667
2015-08-03,0.0935911387485,0.102654600302,0.48125
2015-08-04,0.0757986785853,0.0913423831071,0.516087962963
2015-08-05,0.0619626894675,0.11479638009,0.380439814815
2015-08-06,0.0204080839487,0.0469230769231,0.412615740741
2015-08-07,0.0407034589973,0.0536349924585,0.514236111111
2015-08-08,0.0597046249514,0.0980392156863,0.481712962963
2015-08-09,0.110975514963,0.14161387632,0.635648148148
2015-08-10,0.0545200155461,0.0741628959276,0.574189814815
2015-08-11,0.0408122813836,0.0641025641026,0.556944444444
2015-08-12,0.0450174893121,0.0838009049774,0.551273148148
2015-08-13,0.0600310921104,0.0812820512821,0.547106481481
2015-08-14,0.0342285270113,0.0842081447964,0.553356481481
2015-08-15,0.0280684026428,0.0536349924585,0.393634259259
2015-08-16,0.0201826661485,0.0419004524887,0.47349537037
2015-08-17,0.0439370384765,0.0682956259427,0.545717592593
2015-08-18,0.0441585697629,0.0678733031674,0.537615740741
2015-08-19,0.0561406917995,0.0925942684766,0.548148148148
2015-08-20,0.0946871356393,0.0963650075415,0.534375
2015-08-21,0.0563544500583,0.105580693816,0.409259259259
2015-08-22,0.0548542557326,0.0758371040724,0.53125
2015-08-23,0.0474038087835,0.0980392156863,0.586458333333
2015-08-24,0.0844267392149,0.12358974359,0.549074074074
2015-08-25,0.0880994947532,0.109351432881,0.498842592593
2015-08-26,0.0303381267003,0.0703921568627,0.562731481481
2015-08-27,0.0483676642052,0.0682956259427,0.570486111111
2015-08-28,0.140454722114,0.140769230769,0.412037037037
2015-08-29,0.201022153129,0.198174962293,0.743055555556
2015-08-30,0.159879518072,0.152926093514,0.641087962963
2015-08-31,0.200586863583,0.143288084465,0.2625
2015-09-01,0.202421298096,0.174298642534,0.534027777778
2015-09-02,0.103427905169,0.105580693816,0.371527777778
2015-09-03,0.021053245239,0.0561387631976,0.58275462963
2015-09-04,0.0513913719394,0.0741628959276,0.64537037037
2015-09-05,0.068122813836,0.0863046757164,0.538888888889
2015-09-06,0.0282899339293,0.0641025641026,0.518634259259
2015-09-07,0.0266614846483,0.0574057315234,0.283449074074
2015-09-08,0.0618694131364,0.0800301659125,0.309375
2015-09-09,0.0413486202876,0.071221719457,0.403935185185
2015-09-10,0.0272133696075,0.0494419306184,0.576273148148
2015-09-11,0.0284959191605,0.0398039215686,0.637731481481
2015-09-12,0.0647687524291,0.0833785822021,0.497453703704
2015-09-13,0.0912359113875,0.113544494721,0.568171296296
2015-09-14,0.0418849591916,0.0569834087481,0.589467592593
2015-09-15,0.0355188495919,0.0641025641026,0.6
2015-09-16,0.0395141857754,0.0800301659125,0.594907407407
2015-09-17,0.0325961912165,0.0473453996983,0.446990740741
2015-09-18,0.0625145744267,0.0913423831071,0.337847222222
2015-09-19,0.117889623008,0.121915535445,0.142361111111
2015-09-20,0.197679751263,0.179321266968,0.257175925926
2015-09-21,0.0392965410027,0.0569834087481,0.560648148148
2015-09-22,0.0314069179946,0.0557164404223,0.634490740741
2015-09-23,0.067260007773,0.087149321267,0.608217592593
2015-09-24,0.138620287602,0.164238310709,0.769675925926
2015-09-25,0.0333579479207,0.0515384615385,0.532291666667
2015-09-26,0.0250485814225,0.0574057315234,0.606134259259
2015-09-27,0.0301165954139,0.0473453996983,0.609490740741
2015-09-28,0.0310959968908,0.0460935143288,0.622569444444
2015-09-29,0.0284026428294,0.0473453996983,0.386689814815
2015-09-30,0.0183598911776,0.0381297134238,0.407638888889
2015-10-01,0.0296890788962,0.0460935143288,0.439467592593
2015-10-02,0.0738437621454,0.0984615384615,0.437152777778
2015-10-03,0.0947881849981,0.127360482655,0.465162037037
2015-10-04,0.0365993004275,0.0515384615385,0.393981481481
2015-10-05,0.0236416634279,0.034358974359,0.432291666667
2015-10-06,0.0909016712009,0.101387631976,0.428009259259
2015-10-07,0.00885736494365,0.0389592760181,0.512962962963
2015-10-08,0.0510649047804,0.0884012066365,0.435648148148
2015-10-09,0.215157403809,0.170935143288,0.45474537037
2015-10-10,0.282852701127,0.215354449472,0.495601851852
2015-10-11,0.0688767975126,0.102232277526,0.505092592593
2015-10-12,0.0425417800233,0.0875716440422,0.430555555556
2015-10-13,0.0238631947143,0.044826546003,0.361226851852
2015-10-14,0.0389778468714,0.0494419306184,0.370833333333
2015-10-15,0.0362806062962,0.0599095022624,0.317708333333
2015-10-16,0.0312087057909,0.0615837104072,0.449537037037
2015-10-17,0.00820443062573,0.0419004524887,0.376388888889
2015-10-18,0.0102526233968,0.0360331825038,0.496412037037
2015-10-19,0.0336849220163,0.0477677224736,0.407004830918
2015-10-20,0.0292576758647,0.042730015083,0.333796296296
2015-10-21,0.0362767197824,0.0666214177979,0.499884259259
2015-10-22,0.021053245239,0.0473453996983,0.376967592593
2015-10-23,0.0242945977458,0.0398039215686,0.41875
2015-10-24,0.0676952973183,0.0821116138763,0.127199074074
2015-10-25,0.106214535562,0.0997134238311,0.22650462963
2015-10-26,0.0332530120482,0.0540422322775,0.384490740741
2015-10-27,0.0576525456665,0.0645248868778,0.264814814815
2015-10-28,0.0396307811893,0.0716440422323,0.376041666667
2015-10-29,0.101807228916,0.1202413273,0.527546296296
2015-10-30,0.055709288768,0.1202413273,0.419097222222
2015-10-31,0.133008161679,0.162986425339,0.457291666667
2015-11-01,0.0676952973183,0.142036199095,0.504282407407
2015-11-02,0.00626506024096,0.0360331825038,0.335532407407
