"date","danger_rating","swe_squam","daily_tot_precip_squam","two_day_tot_precip_squam","three_day_tot_precip_squam","swe_nos","daily_tot_precip_nos","two_day_tot_precip_nos","three_day_tot_precip_nos","daily_max_temp_squam","daily_min_temp_squam","daily_mean_temp_squam","two_day_max_temp_squam","two_day_min_temp_squam","two_day_mean_temp_squam","three_day_max_temp_squam","three_day_min_temp_squam","three_day_mean_temp_squam","daily_max_temp_nos","daily_min_temp_nos","daily_mean_temp_nos","two_day_max_temp_nos","two_day_min_temp_nos","two_day_mean_temp_nos","three_day_max_temp_nos","three_day_min_temp_nos","three_day_mean_temp_nos","wind_daily_avg","wind_daily_max","wind_avg_dir","two_day_mean_wind","two_day_max_wind","three_day_mean_wind","three_day_max_wind","two_day_wind_avg_dir","three_day_wind_avg_dir"
2015-12-01,3,-1.46456627976733,0.043849797890609,-0.385619709226781,-0.543066328642117,-1.31551413024164,-0.0628024984571547,-0.608616147599637,-0.89012827780144,-0.2,-3.6,-1.74166666666667,6.2,-3.6,-0.904166666666665,13.8,-3.6,0.344444444444444,2,1.7,1.85,2,1.7,1.85,2,1.7,1.85,0.0902526233968,0.133650075415,0.428009259259,0.0697415468325,0.133650075415,0.0517865008421,0.133650075415,0.40318287037,0.428009259259
2015-12-02,3,-1.40364524190167,1.29170635935857,0.811211425723447,0.300740105614195,-1.28252269195169,-0.201316388484993,-0.166329006051203,-0.554534252461701,0,-2.2,-1.02916666666667,0,-3.6,-1.38541666666667,6.2,-3.6,-0.945833333333334,1.2,-1.9,-0.104166666666667,2,-1.9,0.0461538461538462,2,-1.9,0.0461538461538462,0.108068402643,0.155022624434,0.405555555556,0.0991605130199,0.155022624434,0.082517165436,0.155022624434,0.4167824074075,0.428009259259
2015-12-03,4,-1.35844576219489,0.897646392579212,1.32983825086855,1.02400276354818,-1.18904695013014,1.32233640182123,0.718245277045664,0.519366628625464,2,0,0.941666666666664,2,-2.2,-0.0437499999999988,2,-3.6,-0.609722222222223,1.8,-1.4,0.554166666666667,2,-1.9,0.304761904761905,2,-1.9,0.304761904761905,0.144014768752,0.230437405732,0.463078703704,0.1260415856975,0.230437405732,0.114111931597267,0.230437405732,0.43431712963,0.463078703704
2015-12-04,3,-1.37023693081405,-0.678593474538209,0.133007115918318,0.692507378661768,-1.15055693879186,0.352739171626361,1.07207499028441,0.720723043829307,1.9,-1.5,-0.458333333333336,2,-1.5,0.241666666666668,2,-2.2,-0.181944444444445,1.4,-2.4,-1.22083333333333,1.8,-2.4,-0.333333333333333,2,-2.4,-0.25,0,0,0.459375,0.072007384376,0.230437405732,0.0840277237983333,0.230437405732,0.461226851852,0.463078703704
2015-12-05,4,-1.25429043939231,3.13065287099556,1.48941573552858,1.53631381291808,-1.09557120830859,0.352739171626361,0.452872992116604,0.989198264101098,-1.5,-2.4,-1.85,1.9,-2.4,-1.15416666666667,2,-2.4,-0.455555555555556,-0.7,-2,-1.38333333333333,1.4,-2.4,-1.30208333333333,1.8,-2.4,-0.683333333333333,0,0,0.43125,0,0,0.0480049229173333,0.230437405732,0.4453125,0.463078703704
2015-12-06,4,-1.11672680550211,3.85309614342438,4.2421273459141,2.8924312965443,-0.980101174293742,1.87639196193258,1.42590470352316,1.25767348437289,-0.6,-2.2,-1.6,-0.6,-2.4,-1.725,1.9,-2.4,-1.30277777777778,1,-0.9,-0.4125,1,-2,-0.897916666666667,1.4,-2.4,-1.00555555555556,0,0,0.502430555556,0,0,-1.85037170770859e-17,0,0.466840277778,0.502430555556
2015-12-07,4,-1.06170135194603,1.09467637596889,3.00540183979886,3.70610178672002,-0.853633994182238,2.15341974198826,2.57585127154909,2.13021795025621,0.8,-0.9,-0.0083333333333364,0.8,-2.2,-0.804166666666665,0.8,-2.4,-1.15277777777778,1.9,-0.4,0.354166666666667,1.9,-0.9,-0.0291666666666667,1.9,-2,-0.480555555555556,0.00842207539837,0.0641025641026,0.522337962963,0.004211037699185,0.0641025641026,0.00280735846612331,0.0641025641026,0.5123842592595,0.522337962963
2015-12-08,4,-1.00274550885023,1.48873634274824,1.56920447785859,2.95270318470546,-0.672181083587472,3.67707253229448,3.72579783957501,3.74106927188696,3.2,-0.8,0.72083333333333,3.2,-0.9,0.356250000000001,3.2,-2.2,-0.295833333333334,1.5,-1.4,0.279166666666667,1.9,-1.4,0.3,1.9,-1.4,0.0541666666666667,0.152759424796,0.193152337858,0.506018518519,0.080590750097185,0.193152337858,0.0537271667314566,0.193152337858,0.514178240741,0.522337962963
2015-12-09,3,-0.975232782072186,0.372233103540072,1.13036639504351,1.35549814843458,-0.639189645297514,0.0757113915706837,2.39893641492971,2.86852480600364,1.3,-1.8,-0.495833333333336,3.2,-1.8,0.112500000000001,3.2,-1.8,0.0722222222222213,0.4,-2.4,-1.23333333333333,1.5,-2.4,-0.477083333333333,1.9,-2.4,-0.211111111111111,0.15631558492,0.144132730015,0.443287037037,0.154537504858,0.193152337858,0.10583236170479,0.193152337858,0.474652777778,0.522337962963
2015-12-10,3,-0.930033302365405,0.831969731449319,0.731422683393431,1.23495437211225,-0.633691072249188,-0.755371948596347,-0.431701290980264,1.45902989957673,-1.6,-3.6,-2.65416666666667,1.3,-3.6,-1.575,3.2,-3.6,-0.809722222222223,-1.1,-6,-4.14583333333333,0.4,-6,-2.68958333333333,1.5,-6,-1.7,0.149300427517,0.159622926094,0.313310185185,0.1528080062185,0.159622926094,0.152791812411,0.193152337858,0.378298611111,0.506018518519
