S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
0.0225035161744,0.499517141478,0.262569832402,0.325842696629,0.280591918043,0.000937646507267,0.5,0.262569832402,0.325842696629,0.280591918043,0.0234411626817,0.499758570739,0.42644320298,0.25468164794,0.363932026994,0.000937646507267,0.5,0.42644320298,0.25468164794,0.363932026994,0.0239099859353,0.505552873008,0.517690875233,0.423220973783,0.494267826653,0.000937646507267,0.5,0.517690875233,0.423220973783,0.494267826653,0.0131270511017,0.5,0.538175046555,0.410112359551,0.492479063339,0.000937646507267,0.5,0.538175046555,0.410112359551,0.492479063339,3
0.0248476324426,0.501207146306,0.435754189944,0.367041198502,0.420603301081,0.000937646507267,0.5,0.435754189944,0.367041198502,0.420603301081,0.0225035161744,0.499517141478,0.262569832402,0.325842696629,0.280591918043,0.000937646507267,0.5,0.262569832402,0.325842696629,0.280591918043,0.0234411626817,0.499758570739,0.42644320298,0.25468164794,0.363932026994,0.000937646507267,0.5,0.42644320298,0.25468164794,0.363932026994,0.0239099859353,0.505552873008,0.517690875233,0.423220973783,0.494267826653,0.000937646507267,0.5,0.517690875233,0.423220973783,0.494267826653,2
0.0276605719644,0.501448575567,0.553072625698,0.398876404494,0.489226766404,0.000937646507267,0.5,0.553072625698,0.398876404494,0.489226766404,0.0248476324426,0.501207146306,0.435754189944,0.367041198502,0.420603301081,0.000937646507267,0.5,0.435754189944,0.367041198502,0.420603301081,0.0225035161744,0.499517141478,0.262569832402,0.325842696629,0.280591918043,0.000937646507267,0.5,0.262569832402,0.325842696629,0.280591918043,0.0234411626817,0.499758570739,0.42644320298,0.25468164794,0.363932026994,0.000937646507267,0.5,0.42644320298,0.25468164794,0.363932026994,3
0.0478199718706,0.510381458233,0.6052141527,0.445692883895,0.551914789821,0.000937646507267,0.5,0.6052141527,0.445692883895,0.551914789821,0.0276605719644,0.501448575567,0.553072625698,0.398876404494,0.489226766404,0.000937646507267,0.5,0.553072625698,0.398876404494,0.489226766404,0.0248476324426,0.501207146306,0.435754189944,0.367041198502,0.420603301081,0.000937646507267,0.5,0.435754189944,0.367041198502,0.420603301081,0.0225035161744,0.499517141478,0.262569832402,0.325842696629,0.280591918043,0.000937646507267,0.5,0.262569832402,0.325842696629,0.280591918043,5
0.0506329113924,0.501448575567,0.601489757914,0.417602996255,0.534840230913,0.000937646507267,0.5,0.601489757914,0.417602996255,0.534840230913,0.0478199718706,0.510381458233,0.6052141527,0.445692883895,0.551914789821,0.000937646507267,0.5,0.6052141527,0.445692883895,0.551914789821,0.0276605719644,0.501448575567,0.553072625698,0.398876404494,0.489226766404,0.000937646507267,0.5,0.553072625698,0.398876404494,0.489226766404,0.0248476324426,0.501207146306,0.435754189944,0.367041198502,0.420603301081,0.000937646507267,0.5,0.435754189944,0.367041198502,0.420603301081,4
0.051101734646,0.500241429261,0.566108007449,0.39138576779,0.490771607448,0.000937646507267,0.5,0.566108007449,0.39138576779,0.490771607448,0.0506329113924,0.501448575567,0.601489757914,0.417602996255,0.534840230913,0.000937646507267,0.5,0.601489757914,0.417602996255,0.534840230913,0.0478199718706,0.510381458233,0.6052141527,0.445692883895,0.551914789821,0.000937646507267,0.5,0.6052141527,0.445692883895,0.551914789821,0.0276605719644,0.501448575567,0.553072625698,0.398876404494,0.489226766404,0.000937646507267,0.5,0.553072625698,0.398876404494,0.489226766404,4
0.0548523206751,0.50193143409,0.56052141527,0.404494382022,0.506789169851,0.000937646507267,0.5,0.56052141527,0.404494382022,0.506789169851,0.051101734646,0.500241429261,0.566108007449,0.39138576779,0.490771607448,0.000937646507267,0.5,0.566108007449,0.39138576779,0.490771607448,0.0506329113924,0.501448575567,0.601489757914,0.417602996255,0.534840230913,0.000937646507267,0.5,0.601489757914,0.417602996255,0.534840230913,0.0478199718706,0.510381458233,0.6052141527,0.445692883895,0.551914789821,0.000937646507267,0.5,0.6052141527,0.445692883895,0.551914789821,4
0.0726676043132,0.506518590053,0.646182495345,0.5,0.608586063908,0.000937646507267,0.5,0.646182495345,0.5,0.608586063908,0.0600093764651,0.502655721873,0.577281191806,0.498127340824,0.552809171477,0.000937646507267,0.5,0.577281191806,0.498127340824,0.552809171477,0.0548523206751,0.50193143409,0.56052141527,0.404494382022,0.506789169851,0.000937646507267,0.5,0.56052141527,0.404494382022,0.506789169851,0.051101734646,0.500241429261,0.566108007449,0.39138576779,0.490771607448,0.000937646507267,0.5,0.566108007449,0.39138576779,0.490771607448,4
0.0736052508204,0.500482858522,0.623836126629,0.455056179775,0.563541751362,0.000937646507267,0.5,0.623836126629,0.455056179775,0.563541751362,0.0726676043132,0.5,0.57355679702,0.421348314607,0.51109846329,0.000937646507267,0.5,0.57355679702,0.421348314607,0.51109846329,0.0726676043132,0.506518590053,0.646182495345,0.5,0.608586063908,0.000937646507267,0.5,0.646182495345,0.5,0.608586063908,0.0600093764651,0.502655721873,0.577281191806,0.498127340824,0.552809171477,0.000937646507267,0.5,0.577281191806,0.498127340824,0.552809171477,3
0.0731364275668,0.499758570739,0.478584729981,0.413857677903,0.466541995284,0.000937646507267,0.5,0.478584729981,0.413857677903,0.466541995284,0.0736052508204,0.500482858522,0.623836126629,0.455056179775,0.563541751362,0.000937646507267,0.5,0.623836126629,0.455056179775,0.563541751362,0.0726676043132,0.5,0.57355679702,0.421348314607,0.51109846329,0.000937646507267,0.5,0.57355679702,0.421348314607,0.51109846329,0.0726676043132,0.506518590053,0.646182495345,0.5,0.608586063908,0.000937646507267,0.5,0.646182495345,0.5,0.608586063908,3
