"date","danger_rating","wind_daily_avg","wind_daily_max","wind_avg_dir","SWE_squam","daily_tot_precip_squam","two_day_tot_precip_squam","three_day_tot_precip_squam","daily_max_temp_squam","daily_min_temp_squam","daily_mean_temp_squam","two_day_max_temp_squam","two_day_min_temp_squam","two_day_mean_temp_squam","three_day_max_temp_squam","three_day_min_temp_squam","three_day_mean_temp_squam","SWE_nos","daily_tot_precip_nos","two_day_tot_precip_nos","three_day_tot_precip_nos","daily_max_temp_nos","daily_min_temp_nos","daily_mean_temp_nos","two_day_max_temp_nos","two_day_min_temp_nos","two_day_mean_temp_nos","three_day_max_temp_nos","three_day_min_temp_nos","three_day_mean_temp_nos","month","two_day_mean_wind","two_day_max_wind","three_day_mean_wind","three_day_max_wind"
2019-01-06,"3",0.48620287602,0.542986425339,0.496643518519,0.198423486783241,0.688420937074931,0.319408376105591,1.53404815628783,-0.718511869208228,-1.14062195538006,-0.868275675034346,-0.539434862953509,-1.14062195538006,-0.800055863127786,-0.539434862953509,-1.14062195538006,-0.774295777902653,-0.0867058422745984,-0.887036358197711,-0.371534367950142,1.00101204451705,-0.18181263509182,-0.182000360502632,-0.181881846985705,-0.181750059954882,-0.182000360502632,-0.181856248066049,-0.181659041573882,-0.182000360502632,-0.181827567794952,-1.57741233933088,0.5155460551885,0.542986425339,0.420132141469,0.542986425339
2019-01-21,"2",0.0890011659541,0.300150829563,0.377314814815,0.466195953764502,-0.417820982430541,-0.398364772304042,0.0378775452215733,-0.00220384418935523,-1.93367726879381,-1.33995171829454,-0.00220384418935523,-1.93367726879381,-1.15154778463072,-0.00220384418935523,-1.93367726879381,-1.0164405790189,0.212588650302604,-1.05397752034038,-0.474255909261842,0.924510435836402,-0.182091378883632,-0.182597668627944,-0.182414920784842,-0.181875210228757,-0.182597668627944,-0.182215936589922,-0.18167610752032,-0.182597668627944,-0.182074391946206,-1.57741233933088,0.28760202098705,0.542986425339,0.3733644254437,0.542986425339
2019-01-20,"2",0.154294597746,0.205128205128,0.281481481481,0.467957614731484,-0.196572598529447,0.319408376105591,0.647428534915232,-0.44989635982615,-1.44761110895958,-0.963143850966905,-0.44989635982615,-1.44761110895958,-0.854685009381086,-0.44989635982615,-1.44761110895958,-0.802720699530386,0.212588650302604,0.281551776800953,1.88833954090727,1.0775136531977,-0.181875210228757,-0.182193774562257,-0.182016952395002,-0.18167610752032,-0.182193774562257,-0.181904127526887,-0.18160784373457,-0.182279104294444,-0.181889826895845,-1.57741233933088,0.12164788185005,0.300150829563,0.243166213240033,0.542986425339
2019-01-23,"3",0.0314807617567,0.0965309200603,0.352314814815,0.556040663080583,1.51810237670403,1.21662481161763,0.730549124418913,0.43269745671496,-1.20457802904246,-0.674275584925068,0.43269745671496,-1.42202867949462,-0.929833395934405,0.43269745671496,-1.93367726879381,-1.06653950338778,0.282424031903951,-0.720095196055045,0.24479487992006,-0.299515303054006,-0.181727305359632,-0.182085690234819,-0.181907445905361,-0.181636286978632,-0.182153954020569,-0.181894053877948,-0.181636286978632,-0.182597668627944,-0.182067676180246,-1.57741233933088,0.0928876797513501,0.205128205128,0.0915921751522667,0.300150829563
2019-01-22,"2",0.158569762923,0.333333333333,0.544097222222,0.492620868269232,0.356548361223289,-0.0394781980992253,-0.128363633785788,-0.872006445997986,-1.42202867949462,-1.18539120694374,-0.00220384418935523,-1.93367726879381,-1.26267146261914,-0.00220384418935523,-1.93367726879381,-1.16282892540173,0.277435790360998,1.11625758751428,0.0393517972966596,0.159494349029897,-0.181636286978632,-0.182153954020569,-0.181880661850536,-0.181636286978632,-0.182597668627944,-0.182147791317689,-0.181636286978632,-0.182597668627944,-0.18210417834346,-1.57741233933088,0.0950252623398502,0.333333333333,0.114781707475233,0.333333333333
2019-01-25,"3",0.131364166343,0.161387631976,0.396180555556,0.554279002113601,-0.417820982430541,-0.57780805940645,0.314946176900509,-0.0661599178517545,-1.33249017636726,-0.931165814135705,-0.0661599178517545,-1.40923746476214,-0.992990018676024,0.43269745671496,-1.40923746476214,-0.886751874092372,0.297388756532812,-0.887036358197711,-0.987863615820344,-1.06453138986051,-0.181505448055945,-0.181988983205007,-0.181787984280299,-0.181505448055945,-0.182284792943257,-0.181920837932774,-0.181505448055945,-0.182284792943257,-0.181916373923636,-1.57741233933088,0.144966964633,0.333333333333,0.1071382303409,0.333333333333
2018-11-27,"3",0.44539448115,0.56862745098,0.459143518519,-1.28489504741559,0.0246757853716476,1.61140004324293,1.31239325094468,-0.181280850444073,-0.44989635982615,-0.359291922137751,-0.181280850444073,-0.820841587068066,-0.49706396415217,-0.181280850444073,-0.948753734392865,-0.609964199742322,-1.46844874967268,-1.05397752034038,-1.29602823975545,-1.06453138986051,-0.181556645895257,-0.181710239413195,-0.181633205627192,-0.181533891300007,-0.181710239413195,-0.181614599005035,-0.18149407075832,-0.18181263509182,-0.18164410887075,1.32848125149433,0.2883793237465,0.56862745098,0.245109470138667,0.56862745098
2018-03-27,"3",0.377380489701,0.383107088989,0.577777777778,1.4826743317131,1.35216608877821,1.10895883935619,0.675135398083126,-0.104533562049194,-0.935962519660385,-0.717978901927707,-0.104533562049194,-1.14062195538006,-0.850154787496666,-0.104533562049194,-1.51156718262198,-0.942180471266452,1.28007234049463,0.782375263228952,0.861124127790263,0.312497566391198,-0.181482693460695,-0.18176712590132,-0.181650982654731,-0.181482693460695,-0.181943474014507,-0.181731808873275,-0.181482693460695,-0.182080001586007,-0.181809474731368,-0.99623362116584,0.4113874854255,0.56862745098,0.318046379064667,0.56862745098
2018-04-11,"3",0.336960746211,0.487179487179,0.374189814815,1.5320008387886,1.35216608877821,1.53962272840197,1.03532461926574,-0.270819353571432,-0.769676728138147,-0.629506333361388,0.304785309390161,-0.769676728138147,-0.402195788219611,0.304785309390161,-0.769676728138147,-0.362134414300525,1.56939034998592,-0.386212871769712,1.27201029303706,0.69500560979445,-0.181619221032195,-0.18183538968707,-0.181748163738611,-0.181397363728508,-0.18183538968707,-0.181650508600664,-0.181363231835633,-0.18183538968707,-0.181616692743834,-0.705644262083319,0.357170617956,0.487179487179,0.386578572354,0.56862745098
2019-01-08,"2",0.303536727555,0.37556561086,0.13912037037,0.208993452585133,-0.25188469450472,-0.326587457463079,0.0932912715573605,-1.3069077469023,-2.30462249603573,-1.76099586990534,-0.833632801800546,-2.30462249603573,-1.54061389941032,-0.718511869208228,-2.30462249603573,-1.31650115795166,-0.0817176007316451,-0.720095196055045,-0.885142074508644,-1.06453138986051,-0.182199463211069,-0.182745573497069,-0.182515183220163,-0.182006049151444,-0.182745573497069,-0.182359574972438,-0.18181263509182,-0.182745573497069,-0.182200332310193,-1.57741233933088,0.320248736883,0.487179487179,0.339292654489,0.487179487179
